station,codeTaxa,dhp
C02,BEPA,19.6
C02,POGR,26.5
C02,THOC,14.5
C02,ACRU,18
C02,ACRU,26
C02,PIST,24.3
C02,ABBA,12.9
C02,POGR,29.5
C02,POGR,29.5
C02,PIST,35
C02,ACRU,18.1
C02,POGR,26.2
C02,ACRU,14.5
C02,ACRU,13
C02,ABBA,13
C02,BEPA,10.6
C02,POGR,31
C02,BEPA,11
C02,PIST,43
C02,POGR,19
C02,PIST,25
C02,PIST,24
C02,PIST,38
C02,PIST,20.1
C02,PIST,30
C02,POGR,29.5
C02,PIST,23.3
C02,PIST,29.4
C02,PIST,15.5
C02,PIST,14.5
C02,PIST,39
C02,BEPA,17.3
C02,POGR,26.5
C02,PIST,10.3
C02,THOC,13.5
C02,PIST,12.3
C02,PIST,48
C02,PIST,18.3
E02,BEPA,24.8
E02,ACRU,22.3
E02,ACRU,10.3
E02,POGR,28.5
E02,BEPA,23
E02,BEPA,19
E02,ABBA,9.5
E02,ACRU,39
E02,POGR,23.7
E02,PIGL,31.2
E02,BEPA,13.3
E02,BEPA,13.8
E02,POGR,26.5
E02,POGR,27.2
E02,POGR,26.1
E02,POGR,28.6
E02,BEPA,24
E02,POGR,27.2
E02,POGR,32.8
E02,ABBA,10.1
E02,ACRU,22.3
E02,POGR,29.9
E02,ACRU,15
E02,ACRU,13.7
E02,BEPA,24
E02,ABBA,11.5
E02,POGR,30.2
E02,BEPA,12.4
E02,ACRU,15.2
E02,ACRU,19
E02,POGR,27.4
E02,POGR,27.7
E02,BEPA,19.9
E02,BEPA,24
E02,POGR,26.2
E02,POGR,29.4
E02,BEPA,10.8
E02,BEPA,21.9
E02,POGR,33
E02,POGR,34.7
E02,POGR,30.1
E02,POGR,28.8
E02,ABBA,19
E02,BEPA,17
E02,POGR,28.7
E03,BEPA,13
E03,BEPA,23
E03,BEPA,14.5
E03,ACRU,10.2
E03,BEPA,21.5
E03,ACRU,10.4
E03,ACRU,11.1
E03,BEPA,28
E03,BEPA,27
E03,BEPA,29.5
E03,THOC,21
E03,BEPA,30.4
E03,ACRU,12
E03,ACRU,16.3
E03,BEPA,21.1
E03,ACRU,11.3
E03,ABBA,28.5
E03,BEPA,31.4
E03,BEPA,28
E03,ACRU,16.4
E03,ACRU,23
E03,ACRU,23.5
E03,ACRU,11.1
E03,ACRU,33.5
E03,ACRU,16.8
E03,ACRU,10.1
E03,BEPA,21.7
E03,ACSA,12.3
E03,THOC,24.7
E03,ABBA,11
E03,ACRU,22.3
B01,BEPA,18
B01,BEPA,21
B01,THOC,16.3
B01,THOC,14.7
B01,BEPA,27.2
B01,BEPA,13
B01,BEPA,31.6
B01,THOC,14.3
B01,THOC,17.8
B01,THOC,12.6
B01,THOC,24.3
B01,THOC,18.8
B01,BEPA,21
B01,BEPA,21.8
B01,BEPA,22.5
B01,BEPA,23.2
B01,THOC,17.5
B01,THOC,18.9
B01,THOC,17.5
B01,ABBA,15.6
B01,THOC,16
B01,THOC,20.3
B01,BEPA,17.8
B01,THOC,20.6
B01,THOC,18.3
B01,BEPA,27
B01,THOC,18.5
B01,THOC,24.5
B01,THOC,14.2
B01,THOC,27.4
B01,THOC,22.1
B01,THOC,14.6
B01,BEPA,11.5
B01,THOC,25.1
B01,BEPA,17.1
B01,THOC,15.3
B01,BEPA,20
B01,BEPA,22.3
B01,BEPA,21.3
B01,ABBA,15
B01,BEPA,23
B01,BEPA,22
B01,ABBA,13.3
B01,ACRU,13.5
B01,THOC,12
B01,THOC,23
B00,PIST,33
B00,ABBA,40
B00,THOC,14
B00,THOC,21
B00,THOC,12
B00,THOC,14.5
B00,ABBA,16.5
B00,BEPA,14
B00,PIST,32
B00,THOC,16
B00,THOC,14.5
B00,THOC,37
B00,THOC,13.5
B00,THOC,40
B00,BEPA,11
B00,THOC,16
B00,THOC,12
B00,ABBA,20
B00,ABBA,18
B00,THOC,16.5
B00,THOC,16
B00,ABBA,43
B00,BEPA,19
B00,THOC,14.5
B00,THOC,13
B00,THOC,16
B00,ABBA,23
B00,THOC,14
B00,THOC,12.5
B00,THOC,12.5
B00,THOC,17.5
B00,PIST,18
B00,PIST,20.5
B00,THOC,14
B00,THOC,11
B00,PIST,32
B00,BEPA,11
B00,BEPA,14.5
A01,TSCA,22.4
A01,THOC,22.7
A01,ABBA,12.13
A01,BEPA,14.7
A01,THOC,11.3
A01,THOC,18.5
A01,ABBA,16.5
A01,ABBA,21.2
A01,ABBA,12
A01,THOC,25.5
A01,THOC,23.9
A01,THOC,16
A01,THOC,22.2
A01,THOC,18.1
A01,THOC,19.3
A01,THOC,16
A01,THOC,14.5
A01,THOC,14
A01,ABBA,17
A01,THOC,20.4
A01,BEPA,13.5
A01,PIST,53.3
A01,THOC,16.1
A01,POGR,27
A01,THOC,11.5
A01,ABBA,16.9
A01,THOC,15
A01,THOC,18
A01,THOC,25.7
A01,POGR,29.7
A01,THOC,23.6
A01,BEPA,13
A01,PIST,24.4
A01,THOC,10.5
A01,PIST,30.7
A01,THOC,14.2
A01,THOC,32
A01,TSCA,17.8
A02,PIGL,31
A02,POGR,27.6
A02,POGR,17.9
A02,POGR,16.3
A02,POGR,40.6
A02,ACRU,16.5
A02,POGR,38
A02,POGR,29.3
A02,ACRU,19.3
A02,POGR,43
A02,BEPA,17.8
A02,ABBA,11
A02,BEPA,26.5
A02,ABBA,16.6
A02,BEPA,11.7
A02,BEPA,19.2
A02,ACRU,15.14
A02,ACRU,12
A02,BEPA,17.5
A02,BEPA,12.8
A02,BEPA,18.9
A02,BEPA,10.2
A03,POGR,13
A03,ABBA,25
A03,BEPA,11
A03,BEPA,11
A03,ABBA,13.5
A03,BEPA,13.1
A03,BEPA,20.5
A03,PIST,23.5
A03,ACRU,15.5
A03,ABBA,15.6
A03,BEPA,18.3
A03,PIST,55
A03,ACRU,14.4
A03,BEPA,10.3
A03,BEPA,20.2
A03,ABBA,12.2
A03,BEPA,14
A03,POGR,34.3
A03,PIST,19.8
A03,POGR,46.4
A03,BEPA,20.7
A03,ACRU,24
A03,PIGL,14
A03,PIST,23.8
A03,ABBA,12.5
A03,BEPA,20.7
A03,BEPA,16.4
A03,BEPA,16.5
A03,BEPA,10.8
A03,BEPA,20.1
A03,BEPA,14.5
A03,BEPA,16
A03,BEPA,21
A03,BEPA,24.4
A04,ACRU,31.7
A04,ACRU,20.5
A04,BEPA,17.5
A04,ACSA,20.5
A04,PIST,27
A04,ACRU,31.4
A04,ACRU,20
A04,ACRU,14.2
A04,ACRU,19
A04,ACRU,21.1
A04,BEPA,21
A04,BEPA,13.6
A04,BEPA,11.2
A04,ACRU,15.2
A04,ACRU,17.2
A04,ABBA,25.7
A04,ACRU,15
A04,BEPA,19.5
A04,ACRU,14.5
A04,BEPA,21
A04,BEPA,21.2
A04,BEPA,16
A04,BEPA,25.3
A04,BEPA,30.8
A04,BEPA,27.3
A04,ACRU,11
A04,ACRU,11.6
A04,ACRU,23.2
A04,ACRU,12.8
A04,BEPA,24
A04,BEPA,22.9
A04,POGR,44.7
A04,ACRU,11.7
A04,ACRU,11.7
A05,ABBA,32.7
A05,POGR,42.1
A05,ACRU,18.3
A05,ACRU,13.4
A05,ACRU,15.2
A05,ACRU,13
A05,BEPA,26
A05,ACRU,19.5
A05,ABBA,17.4
A05,ACRU,12.8
A05,ACSA,19.4
A05,POGR,38.7
A05,ABBA,21.9
A05,ACSA,19.7
A05,ACSA,18
A05,ABBA,10
A05,ACRU,17
A05,ACRU,10.8
A05,BEPA,19.4
A05,BEPA,34.35
A05,BEPA,11
A07,ACSA,13
A07,BEPA,22.4
A07,BEPA,28.7
A07,BEPA,21.7
A07,BEPA,28
A07,ABBA,10.8
A07,ACSA,26.5
A07,ACSA,30.4
A07,ABBA,11.5
A07,ACSA,13.6
A07,ABBA,10.5
A07,ACSA,13
A07,ACSA,23.4
A07,ACSA,11.2
A07,ACSA,16.4
A07,ABBA,10.3
A07,ACSA,21.7
A07,ACSA,24.5
A07,ACSA,18.4
A07,POGR,50.4
A07,ACSA,19.4
A07,FAGR,10.5
A07,ACSA,23.6
A07,ACSA,13.4
A08,ABBA,14.3
A08,ACSA,30.8
A08,ACSA,19
A08,POTR,11.3
A08,ABBA,36.8
A08,POTR,15.7
A08,ACSA,41.2
A08,ACSA,23.8
A08,ACSA,22.3
A08,ACSA,21.1
A08,ACSA,20.9
A08,BEPA,14.9
A08,ACSA,25.6
A08,ACSA,27.5
A08,ACSA,22
A08,ACSA,27.5
A08,ABBA,12.3
A08,BEPA,37
A08,BEPA,36.1
A08,BEPA,33.1
A08,ACSA,27.1
A08,ACRU,27.1
A08,ACRU,15.7
A08,ACRU,31.2
A08,ACSA,21.3
A08,ACSA,15.6
D03,ACRU,13.5
D03,BEPA,23
D03,ACRU,16
D03,BEPA,20.5
D03,PIST,27.5
D03,BEPA,28.5
D03,BEPA,28
D03,ABBA,19.5
D03,ABBA,12
D03,BEPA,17.5
D03,ACRU,11
D03,ACRU,14
D03,BEPA,15
D03,ACRU,10.5
D03,BEPA,11
D03,ABBA,10.5
D03,ABBA,13.5
D03,ACRU,22.5
D03,ABBA,16.5
D03,ABBA,11.5
D03,BEPA,19
D03,BEPA,16
D03,ABBA,10
D03,ABBA,21
D03,ABBA,14.5
D03,ACRU,12
D03,ACRU,26
D03,BEPA,14.5
D03,BEPA,18.5
D03,BEPA,20.5
C03,BEPA,10.2
C03,PIST,49.8
C03,BEPA,11
C03,PIST,52.9
C03,ABBA,11.6
C03,BEPA,15
C03,ABBA,18.5
C03,PIST,23.1
C03,BEPA,19
C03,PIST,15.6
C03,PIST,42
C03,BEPA,22
C03,BEPA,15
C03,POGR,28.7
C03,BEPA,19.4
C03,PIST,35
C03,BEPA,17.8
C03,PIST,20.5
C03,POGR,19.8
C03,PIST,17.8
C03,PIST,49.4
C03,ACRU,10.3
C03,PIST,40
C03,ACRU,20.9
C03,ACRU,10.6
C03,BEPA,16
C03,ABBA,12.2
C03,BEPA,16.2
C03,POGR,29
C04,BEPA,28.3
C04,ACRU,23.9
C04,ACRU,19
C04,ACRU,15.5
C04,BEPA,14.1
C04,ACRU,10.4
C04,ACRU,10
C04,ACRU,14.7
C04,ACRU,10.2
C04,ACRU,12.4
C04,BEPA,24.4
C04,ACRU,14.1
C04,BEPA,30
C04,BEPA,17.8
C04,BEPA,21.3
C04,ACRU,10.3
C04,ACRU,14.6
C04,BEPA,18.7
C04,BEPA,20.5
C04,BEPA,18.5
C04,BEPA,17.1
C04,ACRU,13.6
C04,BEPA,30.7
C04,ABBA,12
C04,BEPA,19.1
C04,BEPA,19.4
C04,BEPA,26.6
C04,BEPA,22.3
C04,ACRU,12
C04,ACRU,23.4
C04,BEPA,24.9
B06,OSVI,18
B06,FAGR,13
B06,ACRU,22.5
B06,OSVI,18.2
B06,ACRU,20
B06,ACRU,23.5
B06,POTR,47.5
B06,ACRU,14.2
B06,ACRU,16.2
B06,ACSA,25.5
B06,ACSA,19
B06,ABBA,15
B06,ACSA,12
B06,BEPA,22
B06,ACSA,24
B06,BEPA,22.1
B06,BEPA,16.5
B06,ACRU,18
B06,ACSA,17
B06,ACSA,23.5
B06,BEPA,20
B06,ACSA,11.3
B06,OSVI,11.5
B06,ACSA,27.3
B06,ACSA,32.7
B06,BEPA,19
B06,BEPA,25
B06,ACRU,20.1
B06,BEPA,16.5
B06,BEPA,15
B06,BEPA,18
B00,THOC,14.5
B00,THOC,21.5
B00,THOC,17.5
B00,THOC,15
B00,THOC,17
B00,PIST,26
B00,POGR,19
B00,THOC,19.5
B00,BEPA,15.5
D01,THOC,18.5
D01,THOC,13
D01,BEPA,21
D01,THOC,19
D01,BEPA,16.5
D01,BEPA,21.5
D01,THOC,21
D01,THOC,24
D01,THOC,22
D01,THOC,13
D01,BEPA,25
D01,ACRU,10
D01,ACRU,28
D01,ACRU,23
D01,ACRU,17
D01,THOC,17
D01,BEPA,25
D01,THOC,13.5
D01,BEPA,21.5
D01,BEPA,21
D01,BEPA,26
D01,BEPA,25.5
D01,THOC,21
D01,THOC,18
D01,ACRU,19
D01,THOC,18.5
D01,THOC,13.5
D01,BEPA,18
D01,THOC,25
D01,THOC,18
D01,BEPA,14
D01,THOC,21
D01,THOC,15
D01,THOC,11
D01,ABBA,34
D01,THOC,29
D01,THOC,14
D01,THOC,15
D01,BEPA,17
D01,THOC,14
D01,THOC,23
D01,THOC,26
D01,BEPA,15
D01,THOC,23
D01,THOC,15.5
D01,THOC,12
D01,THOC,13
D01,THOC,18.5
D01,BEPA,19
D01,BEPA,20
D01,BEPA,18
D01,THOC,10
D01,THOC,16
D01,THOC,12.5
D01,THOC,19
D01,BEPA,22
D01,ACRU,14
D01,THOC,16
D01,THOC,18.5
D01,BEPA,20
D01,ACRU,28
D01,BEPA,13.5
D01,THOC,18.5
D01,ABBA,12
D01,ACRU,13
D01,BEPA,10.5
D01,ACRU,10
D01,BEPA,10
D01,THOC,15.5
D01,THOC,10
D01,THOC,10
D01,THOC,12
D01,ACRU,19
D01,BEPA,20
D01,BEPA,10
D01,ACRU,11
D01,BEPA,12
D01,BEPA,11
D01,THOC,20
D01,THOC,17.5
D01,BEPA,18
D01,THOC,12
D01,ABBA,18
D01,THOC,22.5
D01,ACRU,10
D01,ACRU,19
D01,THOC,14
D01,BEPA,12
D01,ABBA,15
D01,ABBA,18
C01,BEPA,13
C01,THOC,13.7
C01,THOC,18
C01,THOC,14
C01,THOC,28
C01,POGR,31.5
C01,THOC,10.5
C01,THOC,23
C01,ACRU,15
C01,POGR,28.5
C01,THOC,11
C01,BEPA,18.5
C01,PIST,45
C01,BEPA,21
C01,ACRU,17
C01,THOC,13.2
C01,PIST,34
C01,PIST,35.2
C01,PIST,13.5
C01,BEPA,19
C01,ACRU,16.5
C01,ABBA,19.5
C01,PIST,44
C01,PIST,46
C01,PIST,18
C01,THOC,12
C01,BEPA,13.5
C01,THOC,13
C01,ACRU,13.3
C01,THOC,16.5
C01,THOC,22.5
C01,PIST,62.5
C01,BEPA,13.8
C01,THOC,11
C01,THOC,22.3
C01,BEPA,19
C01,BEPA,12.2
C01,BEPA,19.8
C01,PIST,28
C01,THOC,12.5
D02,POGR,36
D02,POGR,27.7
D02,POGR,32
D02,ACRU,11.5
D02,POGR,27
D02,POGR,40
D02,ABBA,14.5
D02,POGR,23
D02,POGR,34.5
D02,PIST,52
D02,POGR,30
D02,POGR,31
D02,POGR,44
D02,ACRU,10.5
D02,ABBA,17
D02,THOC,11
D02,POGR,37.5
D02,BEPA,13
D02,POGR,43.5
D02,ACRU,10.5
D02,ABBA,13.5
D02,ACRU,10
D02,BEPA,16
D02,ABBA,12
D02,ACRU,35
E04,ACRU,18.4
E04,ACRU,17.2
E04,ACRU,16.9
E04,ACRU,19.5
E04,ACRU,19.4
E04,POGR,65.4
E04,BEPA,26.2
E04,ACRU,17.8
E04,BEPA,11.1
E04,ACRU,13
E04,ACRU,14.4
E04,BEPA,21.3
E04,BEPA,22.7
E04,BEPA,11.2
E04,BEPA,35
E04,BEPA,27.7
E04,ACRU,10.5
E04,ACRU,14.5
E04,BEPA,13.3
E04,ACRU,18.4
E04,BEPA,13
E04,BEPA,15
E04,BEPA,21
E04,ACRU,11.6
E04,ACRU,37.6
E04,BEPA,26.2
E04,BEPA,18.8
E04,BEPA,13.4
E04,BEPA,21.1
E07,BEPA,17.2
E07,BEPA,27.2
E07,BEPA,27.1
E07,BEPA,29.2
E07,BEPA,31
E07,ACRU,14.2
E07,ACRU,10.1
E07,BEPA,17.4
E07,BEPA,34
E07,BEPA,32.5
E07,BEPA,26.1
E07,BEAL,11.5
E07,BEAL,23.6
E07,ACRU,22.5
E07,ACRU,22.7
E07,ACRU,19.4
E07,BEPA,22.7
E07,ACRU,22.5
E07,ACRU,10.5
E07,ACRU,32
E07,ACRU,26
E07,ACRU,19
E07,BEPA,19.2
E07,BEPA,32.6
E07,BEPA,15.6
E07,ACRU,10.1
E07,BEAL,16.1
E07,BEPA,28.7
D07,FAGR,17.3
D07,FAGR,14
D07,ACSA,14.8
D07,ACSA,17.5
D07,ACSA,12.1
D07,ACSA,14
D07,ACSA,33
D07,ACSA,10
D07,ACSA,23.5
D07,ACSA,28.2
D07,ACSA,16
D07,ACSA,24
D07,ACSA,14.6
D07,ACSA,29.8
D07,ACSA,37
D07,ACSA,32.1
D07,ACSA,17.5
D07,ACSA,33.6
D07,ACSA,19
D07,ACSA,16.5
D07,ACSA,15.4
D07,ACSA,33
